"intervalIndex","fromSample","toSample","stable","elapsedSeconds","cpuSeconds","cpuPercentOneCore","cpuPercentTotalCapacity"
"1","0","1","True","1,3644294","0","0","0"
"2","1","2","True","1,2740466","0","0","0"
"3","2","3","True","1,2629124","0","0","0"
"4","3","4","True","1,2636697","0","0","0"
"5","4","5","True","1,2494193","0","0","0"
"6","5","6","True","1,255283","0","0","0"
"7","6","7","True","1,248216","0","0","0"
"8","7","8","True","1,2532348","0","0","0"
"9","8","9","True","1,2498837","0","0","0"
"10","9","10","True","1,2486638","0","0","0"
"11","10","11","True","1,2443063","0","0","0"
"12","11","12","True","1,2496745","0","0","0"
"13","12","13","True","1,2497588","0","0","0"
"14","13","14","True","1,2531284","0","0","0"
"15","14","15","True","1,2590868","0","0","0"
"16","15","16","True","1,264079","0","0","0"
"17","16","17","True","1,2676514","0","0","0"
"18","17","18","True","1,2644897","0","0","0"
"19","18","19","True","1,4820217","0","0","0"
"20","19","20","True","1,3134925","0","0","0"
"21","20","21","True","1,3736939","0","0","0"
"22","21","22","True","1,3557904","0","0","0"
"23","22","23","True","1,3274134","0","0","0"
"24","23","24","True","1,2954441","0","0","0"
"25","24","25","True","1,2659597","0","0","0"
"26","25","26","True","1,2736632","0","0","0"
"27","26","27","True","1,3817379","0","0","0"
"28","27","28","True","1,2792141","0","0","0"
"29","28","29","True","1,3092295","0","0","0"
"30","29","30","True","1,3038549","0","0","0"
"31","30","31","True","1,31571229999999","0","0","0"
"32","31","32","True","1,32062670000001","0,046875","3,54945118101882","0,295787598418235"
"33","32","33","True","1,323123","0","0","0"
"34","33","34","True","1,3504407","0","0","0"
"35","34","35","True","1,4186135","0","0","0"
"36","35","36","True","1,3267606","0","0","0"
"37","36","37","True","1,3127911","0","0","0"
"38","37","38","True","1,2981617","0","0","0"
"39","38","39","True","1,5327304","0","0","0"
"40","39","40","True","1,31968000000001","0","0","0"
"41","40","41","True","1,3291995","0","0","0"
"42","41","42","True","1,411824","0","0","0"
"43","42","43","True","1,2929607","0","0","0"
"44","43","44","True","1,2728586","0","0","0"
"45","44","45","True","1,2760166","0","0","0"
"46","45","46","True","1,2936222","0","0","0"
