"sampleIndex","capturedAtUtc","elapsedSeconds","processCount","treeWorkingSetBytes","treePrivateBytes","pid","parentPid","name","startTimeUtcTicks","processCpuSeconds","processWorkingSetBytes","processPrivateBytes"
"0","2026-09-03T07:49:30.1364518Z","0,0009171","7","420892672","353599488","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11915264","3801088"
"0","2026-09-03T07:49:30.1364518Z","0,0009171","7","420892672","353599488","7972","17972","narro.exe","639240180863270912","3,078125","34070528","63307776"
"0","2026-09-03T07:49:30.1364518Z","0,0009171","7","420892672","353599488","18612","19080","msedgewebview2.exe","639240180870815075","9,765625","77799424","35610624"
"0","2026-09-03T07:49:30.1364518Z","0,0009171","7","420892672","353599488","19080","7972","msedgewebview2.exe","639240180864534440","4,671875","117792768","93130752"
"0","2026-09-03T07:49:30.1364518Z","0,0009171","7","420892672","353599488","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37150720","13275136"
"0","2026-09-03T07:49:30.1364518Z","0,0009171","7","420892672","353599488","29708","19080","msedgewebview2.exe","639240180866977728","15,515625","121651200","135557120"
"0","2026-09-03T07:49:30.1364518Z","0,0009171","7","420892672","353599488","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20512768","8916992"
"1","2026-09-03T07:49:31.4239656Z","1,3571357","7","420892672","353599488","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11915264","3801088"
"1","2026-09-03T07:49:31.4239656Z","1,3571357","7","420892672","353599488","7972","17972","narro.exe","639240180863270912","3,078125","34070528","63307776"
"1","2026-09-03T07:49:31.4239656Z","1,3571357","7","420892672","353599488","18612","19080","msedgewebview2.exe","639240180870815075","9,765625","77799424","35610624"
"1","2026-09-03T07:49:31.4239656Z","1,3571357","7","420892672","353599488","19080","7972","msedgewebview2.exe","639240180864534440","4,671875","117792768","93130752"
"1","2026-09-03T07:49:31.4239656Z","1,3571357","7","420892672","353599488","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37150720","13275136"
"1","2026-09-03T07:49:31.4239656Z","1,3571357","7","420892672","353599488","29708","19080","msedgewebview2.exe","639240180866977728","15,515625","121651200","135557120"
"1","2026-09-03T07:49:31.4239656Z","1,3571357","7","420892672","353599488","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20512768","8916992"
"2","2026-09-03T07:49:32.6902206Z","2,6394664","7","420892672","353599488","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11915264","3801088"
"2","2026-09-03T07:49:32.6902206Z","2,6394664","7","420892672","353599488","7972","17972","narro.exe","639240180863270912","3,078125","34070528","63307776"
"2","2026-09-03T07:49:32.6902206Z","2,6394664","7","420892672","353599488","18612","19080","msedgewebview2.exe","639240180870815075","9,765625","77799424","35610624"
"2","2026-09-03T07:49:32.6902206Z","2,6394664","7","420892672","353599488","19080","7972","msedgewebview2.exe","639240180864534440","4,671875","117792768","93130752"
"2","2026-09-03T07:49:32.6902206Z","2,6394664","7","420892672","353599488","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37150720","13275136"
"2","2026-09-03T07:49:32.6902206Z","2,6394664","7","420892672","353599488","29708","19080","msedgewebview2.exe","639240180866977728","15,515625","121651200","135557120"
"2","2026-09-03T07:49:32.6902206Z","2,6394664","7","420892672","353599488","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20512768","8916992"
"3","2026-09-03T07:49:33.9472732Z","3,9067906","7","420892672","353599488","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11915264","3801088"
"3","2026-09-03T07:49:33.9472732Z","3,9067906","7","420892672","353599488","7972","17972","narro.exe","639240180863270912","3,078125","34070528","63307776"
"3","2026-09-03T07:49:33.9472732Z","3,9067906","7","420892672","353599488","18612","19080","msedgewebview2.exe","639240180870815075","9,765625","77799424","35610624"
"3","2026-09-03T07:49:33.9472732Z","3,9067906","7","420892672","353599488","19080","7972","msedgewebview2.exe","639240180864534440","4,671875","117792768","93130752"
"3","2026-09-03T07:49:33.9472732Z","3,9067906","7","420892672","353599488","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37150720","13275136"
"3","2026-09-03T07:49:33.9472732Z","3,9067906","7","420892672","353599488","29708","19080","msedgewebview2.exe","639240180866977728","15,515625","121651200","135557120"
"3","2026-09-03T07:49:33.9472732Z","3,9067906","7","420892672","353599488","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20512768","8916992"
"4","2026-09-03T07:49:35.2456082Z","5,170723","7","420892672","353599488","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11915264","3801088"
"4","2026-09-03T07:49:35.2456082Z","5,170723","7","420892672","353599488","7972","17972","narro.exe","639240180863270912","3,078125","34070528","63307776"
"4","2026-09-03T07:49:35.2456082Z","5,170723","7","420892672","353599488","18612","19080","msedgewebview2.exe","639240180870815075","9,765625","77799424","35610624"
"4","2026-09-03T07:49:35.2456082Z","5,170723","7","420892672","353599488","19080","7972","msedgewebview2.exe","639240180864534440","4,671875","117792768","93130752"
"4","2026-09-03T07:49:35.2456082Z","5,170723","7","420892672","353599488","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37150720","13275136"
"4","2026-09-03T07:49:35.2456082Z","5,170723","7","420892672","353599488","29708","19080","msedgewebview2.exe","639240180866977728","15,515625","121651200","135557120"
"4","2026-09-03T07:49:35.2456082Z","5,170723","7","420892672","353599488","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20512768","8916992"
"5","2026-09-03T07:49:36.5069981Z","6,4640488","7","420892672","353599488","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11915264","3801088"
"5","2026-09-03T07:49:36.5069981Z","6,4640488","7","420892672","353599488","7972","17972","narro.exe","639240180863270912","3,078125","34070528","63307776"
"5","2026-09-03T07:49:36.5069981Z","6,4640488","7","420892672","353599488","18612","19080","msedgewebview2.exe","639240180870815075","9,765625","77799424","35610624"
"5","2026-09-03T07:49:36.5069981Z","6,4640488","7","420892672","353599488","19080","7972","msedgewebview2.exe","639240180864534440","4,671875","117792768","93130752"
"5","2026-09-03T07:49:36.5069981Z","6,4640488","7","420892672","353599488","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37150720","13275136"
"5","2026-09-03T07:49:36.5069981Z","6,4640488","7","420892672","353599488","29708","19080","msedgewebview2.exe","639240180866977728","15,515625","121651200","135557120"
"5","2026-09-03T07:49:36.5069981Z","6,4640488","7","420892672","353599488","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20512768","8916992"
"6","2026-09-03T07:49:37.7896890Z","7,7181346","7","420892672","353599488","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11915264","3801088"
"6","2026-09-03T07:49:37.7896890Z","7,7181346","7","420892672","353599488","7972","17972","narro.exe","639240180863270912","3,078125","34070528","63307776"
"6","2026-09-03T07:49:37.7896890Z","7,7181346","7","420892672","353599488","18612","19080","msedgewebview2.exe","639240180870815075","9,765625","77799424","35610624"
"6","2026-09-03T07:49:37.7896890Z","7,7181346","7","420892672","353599488","19080","7972","msedgewebview2.exe","639240180864534440","4,671875","117792768","93130752"
"6","2026-09-03T07:49:37.7896890Z","7,7181346","7","420892672","353599488","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37150720","13275136"
"6","2026-09-03T07:49:37.7896890Z","7,7181346","7","420892672","353599488","29708","19080","msedgewebview2.exe","639240180866977728","15,515625","121651200","135557120"
"6","2026-09-03T07:49:37.7896890Z","7,7181346","7","420892672","353599488","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20512768","8916992"
"7","2026-09-03T07:49:39.0449766Z","8,9995427","7","420892672","353599488","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11915264","3801088"
"7","2026-09-03T07:49:39.0449766Z","8,9995427","7","420892672","353599488","7972","17972","narro.exe","639240180863270912","3,078125","34070528","63307776"
"7","2026-09-03T07:49:39.0449766Z","8,9995427","7","420892672","353599488","18612","19080","msedgewebview2.exe","639240180870815075","9,765625","77799424","35610624"
"7","2026-09-03T07:49:39.0449766Z","8,9995427","7","420892672","353599488","19080","7972","msedgewebview2.exe","639240180864534440","4,671875","117792768","93130752"
"7","2026-09-03T07:49:39.0449766Z","8,9995427","7","420892672","353599488","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37150720","13275136"
"7","2026-09-03T07:49:39.0449766Z","8,9995427","7","420892672","353599488","29708","19080","msedgewebview2.exe","639240180866977728","15,515625","121651200","135557120"
