"intervalIndex","fromSample","toSample","stable","elapsedSeconds","cpuSeconds","cpuPercentOneCore","cpuPercentTotalCapacity"
"1","0","1","True","1,3562186","0","0","0"
"2","1","2","True","1,2823307","0","0","0"
"3","2","3","True","1,2673242","0","0","0"
"4","3","4","True","1,2639324","0","0","0"
"5","4","5","True","1,2933258","0","0","0"
"6","5","6","True","1,2540858","0","0","0"
"7","6","7","True","1,2814081","0","0","0"
"8","7","8","True","1,2629447","0","0","0"
"9","8","9","True","1,2589636","0","0","0"
"10","9","10","True","1,2570904","0","0","0"
"11","10","11","True","1,2609098","0","0","0"
"12","11","12","True","1,2823718","0","0","0"
"13","12","13","True","1,2827885","0","0","0"
"14","13","14","True","1,6206391","0","0","0"
"15","14","15","True","1,2780293","0","0","0"
"16","15","16","True","1,2685139","0","0","0"
"17","16","17","True","1,2630614","0","0","0"
"18","17","18","True","1,2760741","0","0","0"
"19","18","19","True","1,2695044","0","0","0"
"20","19","20","True","1,2713504","0","0","0"
"21","20","21","True","1,2718541","0","0","0"
"22","21","22","True","1,2534839","0","0","0"
"23","22","23","True","1,2601517","0","0","0"
"24","23","24","True","1,2619068","0","0","0"
"25","24","25","True","1,2631578","0","0","0"
"26","25","26","True","1,2721558","0","0","0"
"27","26","27","True","1,2847578","0","0","0"
"28","27","28","True","1,2683886","0","0","0"
"29","28","29","True","1,2563355","0","0","0"
"30","29","30","True","1,2529059","0","0","0"
"31","30","31","True","1,2565292","0","0","0"
"32","31","32","True","1,2615193","0","0","0"
"33","32","33","True","1,2690362","0","0","0"
"34","33","34","True","1,2565788","0","0","0"
"35","34","35","True","1,2560193","0","0","0"
"36","35","36","True","1,2599861","0","0","0"
"37","36","37","True","1,2755918","0","0","0"
"38","37","38","True","1,268802","0","0","0"
"39","38","39","True","1,2609734","0","0","0"
"40","39","40","True","1,2727476","0","0","0"
"41","40","41","True","1,2482749","0","0","0"
"42","41","42","True","1,2489597","0","0","0"
"43","42","43","True","1,2622779","0","0","0"
"44","43","44","True","1,2383997","0","0","0"
"45","44","45","True","1,2502684","0","0","0"
"46","45","46","True","1,2611348","0,015625","1,23896351127572","0,103246959272976"
"47","46","47","True","1,2451574","0","0","0"
