"sampleIndex","capturedAtUtc","elapsedSeconds","processCount","treeWorkingSetBytes","treePrivateBytes","pid","parentPid","name","startTimeUtcTicks","processCpuSeconds","processWorkingSetBytes","processPrivateBytes"
"0","2026-09-03T07:45:29.9382419Z","0,0009159","7","412725248","334737408","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11907072","3837952"
"0","2026-09-03T07:45:29.9382419Z","0,0009159","7","412725248","334737408","7972","17972","narro.exe","639240180863270912","3,0625","34009088","63279104"
"0","2026-09-03T07:45:29.9382419Z","0,0009159","7","412725248","334737408","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","78163968","35024896"
"0","2026-09-03T07:45:29.9382419Z","0,0009159","7","412725248","334737408","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117645312","93179904"
"0","2026-09-03T07:45:29.9382419Z","0,0009159","7","412725248","334737408","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37109760","13295616"
"0","2026-09-03T07:45:29.9382419Z","0,0009159","7","412725248","334737408","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113401856","117207040"
"0","2026-09-03T07:45:29.9382419Z","0,0009159","7","412725248","334737408","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20488192","8912896"
"1","2026-09-03T07:45:31.2399006Z","1,3797585","7","412725248","334737408","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11907072","3837952"
"1","2026-09-03T07:45:31.2399006Z","1,3797585","7","412725248","334737408","7972","17972","narro.exe","639240180863270912","3,0625","34009088","63279104"
"1","2026-09-03T07:45:31.2399006Z","1,3797585","7","412725248","334737408","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","78163968","35024896"
"1","2026-09-03T07:45:31.2399006Z","1,3797585","7","412725248","334737408","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117645312","93179904"
"1","2026-09-03T07:45:31.2399006Z","1,3797585","7","412725248","334737408","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37109760","13295616"
"1","2026-09-03T07:45:31.2399006Z","1,3797585","7","412725248","334737408","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113401856","117207040"
"1","2026-09-03T07:45:31.2399006Z","1,3797585","7","412725248","334737408","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20488192","8912896"
"2","2026-09-03T07:45:32.5177829Z","2,6691206","7","412725248","334737408","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11907072","3837952"
"2","2026-09-03T07:45:32.5177829Z","2,6691206","7","412725248","334737408","7972","17972","narro.exe","639240180863270912","3,0625","34009088","63279104"
"2","2026-09-03T07:45:32.5177829Z","2,6691206","7","412725248","334737408","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","78163968","35024896"
"2","2026-09-03T07:45:32.5177829Z","2,6691206","7","412725248","334737408","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117645312","93179904"
"2","2026-09-03T07:45:32.5177829Z","2,6691206","7","412725248","334737408","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37109760","13295616"
"2","2026-09-03T07:45:32.5177829Z","2,6691206","7","412725248","334737408","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113401856","117207040"
"2","2026-09-03T07:45:32.5177829Z","2,6691206","7","412725248","334737408","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20488192","8912896"
"3","2026-09-03T07:45:33.7858949Z","3,9449114","7","412725248","334737408","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11907072","3837952"
"3","2026-09-03T07:45:33.7858949Z","3,9449114","7","412725248","334737408","7972","17972","narro.exe","639240180863270912","3,0625","34009088","63279104"
"3","2026-09-03T07:45:33.7858949Z","3,9449114","7","412725248","334737408","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","78163968","35024896"
"3","2026-09-03T07:45:33.7858949Z","3,9449114","7","412725248","334737408","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117645312","93179904"
"3","2026-09-03T07:45:33.7858949Z","3,9449114","7","412725248","334737408","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37109760","13295616"
"3","2026-09-03T07:45:33.7858949Z","3,9449114","7","412725248","334737408","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113401856","117207040"
"3","2026-09-03T07:45:33.7858949Z","3,9449114","7","412725248","334737408","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20488192","8912896"
"4","2026-09-03T07:45:35.0554019Z","5,2087537","7","412725248","334737408","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11907072","3837952"
"4","2026-09-03T07:45:35.0554019Z","5,2087537","7","412725248","334737408","7972","17972","narro.exe","639240180863270912","3,0625","34009088","63279104"
"4","2026-09-03T07:45:35.0554019Z","5,2087537","7","412725248","334737408","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","78163968","35024896"
"4","2026-09-03T07:45:35.0554019Z","5,2087537","7","412725248","334737408","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117645312","93179904"
"4","2026-09-03T07:45:35.0554019Z","5,2087537","7","412725248","334737408","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37109760","13295616"
"4","2026-09-03T07:45:35.0554019Z","5,2087537","7","412725248","334737408","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113401856","117207040"
"4","2026-09-03T07:45:35.0554019Z","5,2087537","7","412725248","334737408","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20488192","8912896"
"5","2026-09-03T07:45:36.3081564Z","6,4843611","7","412725248","334737408","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11907072","3837952"
"5","2026-09-03T07:45:36.3081564Z","6,4843611","7","412725248","334737408","7972","17972","narro.exe","639240180863270912","3,0625","34009088","63279104"
"5","2026-09-03T07:45:36.3081564Z","6,4843611","7","412725248","334737408","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","78163968","35024896"
"5","2026-09-03T07:45:36.3081564Z","6,4843611","7","412725248","334737408","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117645312","93179904"
"5","2026-09-03T07:45:36.3081564Z","6,4843611","7","412725248","334737408","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37109760","13295616"
"5","2026-09-03T07:45:36.3081564Z","6,4843611","7","412725248","334737408","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113401856","117207040"
"5","2026-09-03T07:45:36.3081564Z","6,4843611","7","412725248","334737408","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20488192","8912896"
"6","2026-09-03T07:45:37.5627719Z","7,7318453","7","412708864","334704640","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11907072","3837952"
"6","2026-09-03T07:45:37.5627719Z","7,7318453","7","412708864","334704640","7972","17972","narro.exe","639240180863270912","3,0625","34009088","63279104"
"6","2026-09-03T07:45:37.5627719Z","7,7318453","7","412708864","334704640","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","78163968","35024896"
"6","2026-09-03T07:45:37.5627719Z","7,7318453","7","412708864","334704640","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117628928","93147136"
"6","2026-09-03T07:45:37.5627719Z","7,7318453","7","412708864","334704640","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37109760","13295616"
"6","2026-09-03T07:45:37.5627719Z","7,7318453","7","412708864","334704640","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113401856","117207040"
"6","2026-09-03T07:45:37.5627719Z","7,7318453","7","412708864","334704640","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20488192","8912896"
"7","2026-09-03T07:45:38.8598210Z","8,991543","7","412708864","334704640","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11907072","3837952"
"7","2026-09-03T07:45:38.8598210Z","8,991543","7","412708864","334704640","7972","17972","narro.exe","639240180863270912","3,0625","34009088","63279104"
"7","2026-09-03T07:45:38.8598210Z","8,991543","7","412708864","334704640","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","78163968","35024896"
"7","2026-09-03T07:45:38.8598210Z","8,991543","7","412708864","334704640","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117628928","93147136"
"7","2026-09-03T07:45:38.8598210Z","8,991543","7","412708864","334704640","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37109760","13295616"
"7","2026-09-03T07:45:38.8598210Z","8,991543","7","412708864","334704640","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113401856","117207040"
"7","2026-09-03T07:45:38.8598210Z","8,991543","7","412708864","334704640","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20488192","8912896"
"8","2026-09-03T07:45:40.1132934Z","10,2883858","7","412708864","334704640","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11907072","3837952"
"8","2026-09-03T07:45:40.1132934Z","10,2883858","7","412708864","334704640","7972","17972","narro.exe","639240180863270912","3,0625","34009088","63279104"
"8","2026-09-03T07:45:40.1132934Z","10,2883858","7","412708864","334704640","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","78163968","35024896"
"8","2026-09-03T07:45:40.1132934Z","10,2883858","7","412708864","334704640","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117628928","93147136"
"8","2026-09-03T07:45:40.1132934Z","10,2883858","7","412708864","334704640","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37109760","13295616"
"8","2026-09-03T07:45:40.1132934Z","10,2883858","7","412708864","334704640","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113401856","117207040"
"8","2026-09-03T07:45:40.1132934Z","10,2883858","7","412708864","334704640","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20488192","8912896"
"9","2026-09-03T07:45:41.3854658Z","11,5434809","7","412708864","334704640","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11907072","3837952"
"9","2026-09-03T07:45:41.3854658Z","11,5434809","7","412708864","334704640","7972","17972","narro.exe","639240180863270912","3,0625","34009088","63279104"
"9","2026-09-03T07:45:41.3854658Z","11,5434809","7","412708864","334704640","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","78163968","35024896"
"9","2026-09-03T07:45:41.3854658Z","11,5434809","7","412708864","334704640","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117628928","93147136"
"9","2026-09-03T07:45:41.3854658Z","11,5434809","7","412708864","334704640","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37109760","13295616"
"9","2026-09-03T07:45:41.3854658Z","11,5434809","7","412708864","334704640","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113401856","117207040"
"9","2026-09-03T07:45:41.3854658Z","11,5434809","7","412708864","334704640","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20488192","8912896"
"10","2026-09-03T07:45:42.6640902Z","12,8143572","7","412708864","334704640","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11907072","3837952"
"10","2026-09-03T07:45:42.6640902Z","12,8143572","7","412708864","334704640","7972","17972","narro.exe","639240180863270912","3,0625","34009088","63279104"
"10","2026-09-03T07:45:42.6640902Z","12,8143572","7","412708864","334704640","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","78163968","35024896"
"10","2026-09-03T07:45:42.6640902Z","12,8143572","7","412708864","334704640","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117628928","93147136"
"10","2026-09-03T07:45:42.6640902Z","12,8143572","7","412708864","334704640","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37109760","13295616"
